CUTE	CoreEudicots Caryophyllales	Caryophyllales
CVDF	CoreEudicots Caryophyllales	Caryophyllales
CVEG	LeptosporangiateMonilophytes	Monilophytes
CWYJ	CoreEudicots/Asterids	Asterids
CWZU	CoreEudicots/Rosids	Rosids
CZPV	CoreEudicots/Rosids	Rosids
Carpa_ASGPBv0.4	CoreEudicots/Rosids	Rosids
Chabr_v0.1	Charophyceae	Streptophyte Algae
Chlre_v5.5	Chlorophyceae	Chlorophyta
Chlva_v1.0	Trebouxiophyceae	Chlorophyta
Cyame_v1.0	Rhodophyta	Rhodophyta
DAAD	CoreEudicots/Asterids	Asterids
DAYQ	CoreEudicots Saxifragales	Eudicots
DBYD	ChromistaChrysophyta	Chromista
DCCI	CoreEudicots/Asterids	Asterids
DCDT	LeptosporangiateMonilophytes	Monilophytes
DDRL	CoreEudicots/Asterids	Asterids
DESP	CoreEudicots/Asterids	Asterids
DFDS	Zygnemophyceae	Streptophyte Algae
DFHO	EusporangiateMonilophytes	Monilophytes
DFYF	CoreEudicots/Asterids	Asterids
DGXS	Monocots	Monocots
DHAW	CoreEudicots/Rosids	Rosids
DHPO	Magnoliids	Magnoliids
DHWX	Mosses	Mosses
DIHD	CoreEudicots/Asterids	Asterids
DJSE	EusporangiateMonilophytes	Monilophytes
DKFZ	CoreEudicots/Asterids	Asterids
DLAI	CoreEudicots/Asterids	Asterids
DLJZ	CoreEudicots/Asterids	Asterids
DMIN	Monocots	Monocots
DMLT	CoreEudicots/Asterids	Asterids
DOVJ	CoreEudicots/Asterids	Asterids
DPFW	Monocots	Monocots
DRFX	Zygnemophyceae	Streptophyte Algae
DRGY	Coleochaetophyceae	Streptophyte Algae
DRIL	CoreEudicots Saxifragales	Eudicots
DSUV	CoreEudicots/Asterids	Asterids
DTNC	CoreEudicots/Asterids	Asterids
DUMA	Chlorodendrales	Chlorophyta
DUNJ	CoreEudicots/Asterids	Asterids
DUQG	CoreEudicots/Asterids	Asterids
DVXD	CoreEudicots Caryophyllales	Caryophyllales
DVYE	Chlorophyceae	Chlorophyta
DWZT	Monocots	Monocots
DXOU	Hornworts	Hornworts
DXQW	CoreEudicots/Rosids	Rosids
DZLN	CoreEudicots/Rosids	Rosids
DZPJ	Chlorophyceae	Chlorophyta
DZQM	Pinales	Gymnosperms
DZTK	CoreEudicots/Rosids	Rosids
EAAA	CoreEudicots/Asterids	Asterids
EATP	Trebouxiophyceae	Chlorophyta
EAVM	CoreEudicots/Rosids	Rosids
EBWI	ChromistaHaptophyceae	Chromista
ECTD	CoreEudicots/Asterids	Asterids
EDBB	CoreEudicots/Asterids	Asterids
EDEQ	CoreEudicots/Asterids	Asterids
EDHN	CoreEudicots/Rosids	Rosids
EDIT	CoreEudicots Caryophyllales	Caryophyllales
EDXZ	CoreEudicots/Asterids	Asterids
EEAQ	EusporangiateMonilophytes	Monilophytes
EEJO	Trebouxiophyceae	Chlorophyta
EEMJ	Mosses	Mosses
